"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"18264","SUNENG","SM","SUNGARNER ENERGIES LIMITED",0.01,1,"","",0,10,"INE0O3O01017",592.4,181.1,909.2,150,"","","",0,0,0,247.2,164.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SEL"
"18268","AERIND","EQ","AEROFLEX INDUSTRIES LIMITED",0.01,1,"","",0,2,"INE024001021",272,148.01,272,115,"","","",0,0,0,210.32,140.22,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","AEROFLEX"
"18279","HDFLIQ","EQ","HDFC NIFTY 1DRT LIQ ETF GROWTH",0.01,1,"","",0,1000,"INF179KC1JG3",1045.47,990,1045.47,975,"","","",0,0,0,1096.67,992.23,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","HDFCLIQUID"
"18284","HANBEE","EQ","NIPPON INDIA ETF HANGSENG BEES",0.01,1,"","",0,10,"INF204KB19I1",579.92,319,579.92,98.1,"","","",0,0,0,548.84,365.9,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","HNGSNGBEES"
"18292","INVGOL","EQ","INVESCO INDIA GOLD ETF",0.01,1,"","",0,100,"INF205K01361",12597,6864.2,12597,1560,"","","",0,0,0,14847.65,9898.45,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","IVZINGOLD"
"18321","LGBALA","EQ","L G BALKRISHNAN & BROS LTD",0.01,1,"","",0,10,"INE337A01034",1975,1081,1975,3.27,"","","",0,0,0,2175.3,1450.3,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","LGBBROSLTD"
"18340","BROINI","BE","BROADCAST INITIATIVES LTD",0.01,1,"","",0,10,"INE698H01018",0,0,140,2.45,"","","",0,0,0,2.9,2.7,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BROADCAST"
"18341","VISPRA","EQ","VISHNU PRAKASH R PUNGLIA LTD",0.01,1,"","",0,10,"INE0AE001013",269.45,45,345.75,45,"","","",0,0,0,55.54,37.04,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","VPRPL"
"18347","UTIMID","EQ","UTI NIFTY MIDCAP 150 ETF",0.01,1,"","",0,10,"INF789F1AYX9",235.48,174.82,235.48,141.57,"","","",0,0,0,265.51,177.01,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","MIDCAPBETA"
"1835","KANCH","EQ","KANORIA CHEMICALS & INDUSTRIES",0.01,1,"","",0,5,"INE138C01024",117.24,69.5,221.55,11.5,"","","",0,0,0,84.36,56.24,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KANORICHEM"
"18357","PRAOVE","EQ","PRADIP OVERSEAS LIMITED",0.01,1,"","",0,10,"INE495J01015",1.2,0.45,104,0.3,"","","",0,0,0,1.2,1.1,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PRADIP"
"18359","SANMAN","EQ","SANDUR MANGANESE & IRON ORES L",0.01,1,"","",0,10,"INE149K01016",273,112.29,273,79.42,"","","",0,0,0,273.33,182.23,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SANDUMA"
"18365","PERSYS","EQ","PERSISTENT SYSTEMS LIMITED",0.01,1,"","",0,5,"INE262H01021",6599,4148.95,6788.9,70.25,"","","",0,0,0,7043,5763,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PERSISTENT"
"18371","NAGDHU","EQ","NAGA DHUNSERI GROUP LIMITED",0.01,1,"","",0,10,"INE756C01015",4685.4,2708.4,6689,270,"","","",0,0,0,3269.6,2179.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","NDGL"
"1838","KARVYS","EQ","KARUR VYSYA BANK LTD",0.01,1,"","",0,2,"INE036D01028",280.45,154.56,280.45,0.79,"","","",0,0,0,321,214,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KARURVYSYA"
"18380","CPSSHA","ST","C P S SHAPERS LIMITED",0.01,1,"","",0,10,"INE0QBU01012",1306.45,412,1306.45,246.05,"","","",0,0,0,1159.2,1048.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CPS"
"18391","RBLBAN","EQ","RBL BANK LIMITED",0.01,1,"","",0,10,"INE976G01028",332,146.1,716.4,74.15,"","","",0,0,0,357.05,292.15,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","RBLBANK"
"18392","MONPHA","SM","MONO PHARMACARE LIMITED",0.01,1,"","",0,10,"INE0OIP01012",33.5,12.55,75,12.55,"","","",0,0,0,13.8,12.5,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","MONOPHARMA"
"184","TWEFIR","EQ","TCPL PACKAGING LIMITED",0.01,1,"","",0,10,"INE822C01015",4900,2751.1,4900,130,"","","",0,0,0,3366.9,2244.7,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","TCPLPACK"
"1841","KCPLTD","EQ","KCP LTD",0.01,1,"","",0,1,"INE805C01028",230,163.11,281.79,1.2,"","","",0,0,0,203.34,135.56,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KCP"
"18414","TQL23A","TB","TBILL 91 Day 07DC23",0.01,1,"","",0,100,"IN002023X245",0,0,0,0,"","","",0,0,0,104.91,94.92,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","91D071223"
"18415","THC24A","TB","TBILL 182 Day 07MR24",0.01,1,"","",0,100,"IN002023Y243",0,0,0,0,"","","",0,0,0,104.69,94.72,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","182D070324"
"18416","TYI24A","TB","TBILL 364 Day 05SP24",0.01,1,"","",0,100,"IN002023Z257",0,0,0,0,"","","",0,0,0,104.64,94.67,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","364D050924"
"18417","RISINS","EQ","RISHABH INSTRUMENTS LIMITED",0.01,1,"","",0,10,"INE0N2P01017",490,201.5,635.4,201.5,"","","",0,0,0,432.95,288.65,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","RISHABH"
