security_id,symbol,name,series,tick_size,lot_size,instrument_type,segment,exchange
3375,SURYAROSNI,Surya Roshni,EQ,5,1,ES,E,NSE
3518,TORNTPHARM,Torrent Pharmaceuticals,EQ,5,1,ES,E,NSE
14567,BFUTILITIE,BF Utilities,EQ,5,1,ES,E,NSE
14208,TV18BRDCST,TV18 Broadcast,EQ,5,1,ES,E,NSE
10925,GODREJIND,Godrej Industries,EQ,5,1,ES,E,NSE
10990,RADICO,Radico Khaitan,EQ,5,1,ES,E,NSE
1491,IFCI,IFCI,EQ,5,1,ES,E,NSE
15124,KOLTEPATIL,Kolte-Patil Developers Lt,EQ,5,1,ES,E,NSE
16745,RBL,Rane Brake Lining,EQ,5,1,ES,E,NSE
11536,TCS,Tata Consultancy Services,EQ,5,1,ES,E,NSE
6286,GULPOLY,Gulshan Polyols,EQ,5,1,ES,E,NSE
1811,KAKATCEM,Kakatiya Cement Sugar & Ind.,EQ,5,1,ES,E,NSE
11840,NH,Narayana Hrudayalaya,EQ,5,1,ES,E,NSE
17675,ALOKINDS,Alok Industries,EQ,5,1,ES,E,NSE
2909,RICOAUTO,Rico Auto Industries,EQ,5,1,ES,E,NSE
2489,ISEC,ICICI Securities,EQ,5,1,ES,E,NSE
8175,SAGARDEEP,SAGARDEEP ALLOYS LIMITED,EQ,5,1,ES,E,NSE
21406,AVADHSUGAR,Avadh Sug & Energy,EQ,5,1,ES,E,NSE
3496,TIRUMALCHM,Thirumalai Chemicals,EQ,5,1,ES,E,NSE
11705,XCHANGING,Xchanging Solutions,EQ,5,1,ES,E,NSE
184,TCPLPACK,Tcpl Packaging,EQ,5,1,ES,E,NSE
40,AEGISCHEM,Aegis Logistics,EQ,5,1,ES,E,NSE
19556,BHANDARI,Bhandari Hosiery Exp,EQ,5,1,ES,E,NSE
8546,CHALET,Chalet Hotels,EQ,5,1,ES,E,NSE
21091,STARCEMENT,Star Cement,EQ,5,1,ES,E,NSE
3821,ZODIACLOTH,Zodiac Clothing,EQ,5,1,ES,E,NSE
21683,BRNL,Bharat Road Network,EQ,5,1,ES,E,NSE
919,EIHOTEL,EIH Hotels,EQ,5,1,ES,E,NSE
1235,GREAVESCOT,Greaves Cotton,EQ,5,1,ES,E,NSE
13648,TALBROAUTO,Talbros Automotive Co.,EQ,5,1,ES,E,NSE
1476,IDBI,IDBI Bank,EQ,5,1,ES,E,NSE
22602,PFS,PTC India Fin Serv,EQ,5,1,ES,E,NSE
21676,HINDMOTORS,Hindustan Motors,EQ,5,1,ES,E,NSE
19126,KIOCL,KIOCL,EQ,5,1,ES,E,NSE
20182,ASHOKA,Ashoka Buildcon,EQ,5,1,ES,E,NSE
14667,KMSUGAR,K M Sugar Mills,EQ,5,1,ES,E,NSE
13920,PLASTIBLEN,Plastiblends India,EQ,5,1,ES,E,NSE
20323,RESPONIND,Responsive Industries,EQ,5,1,ES,E,NSE
2088,MAHSEAMLES,Maharashtra Seamless,EQ,5,1,ES,E,NSE
24391,DELPHIFX,DELPHI WORLD MONEY LTD,EQ,5,1,ES,E,NSE
25492,ONELIFECAP,Onelife Cap Advisors,EQ,5,1,ES,E,NSE
1145,GIPCL,Gujarat Industries Power,EQ,5,1,ES,E,NSE
11271,DREDGECORP,Dredging Corp Of India,EQ,5,1,ES,E,NSE
14058,SANGHVIMOV,Sanghvi Movers,EQ,5,1,ES,E,NSE
17279,BLS,Bls International Service,EQ,5,1,ES,E,NSE
4235,WENDT,WENDT,EQ,5,1,ES,E,NSE
3186,SKFINDIA,SKF,EQ,5,1,ES,E,NSE
79,ALEMBICLTD,Alembic,EQ,5,1,ES,E,NSE
17875,GODREJPROP,Godrej Properties,EQ,5,1,ES,E,NSE
9253,NILAINFRA,Nila Infrastructures,EQ,5,1,ES,E,NSE
3339,SUNDARMFIN,Sundaram Finance,EQ,5,1,ES,E,NSE
10940,DIVISLAB,Divis Laboratories,EQ,5,1,ES,E,NSE
1214,DELTAMAGNT,DELTA MANUFACTURING LTD,EQ,5,1,ES,E,NSE
3787,WIPRO,Wipro,EQ,5,1,ES,E,NSE
1442,SANOFI,Sanofi India,EQ,5,1,ES,E,NSE
14687,GOACARBON,Goa Carbon,EQ,5,1,ES,E,NSE
11773,VISHAL,VISHAL FABRICS LIMITED,EQ,5,1,ES,E,NSE
11896,GEOJITFSL,Geojit Financial Ser L,EQ,5,1,ES,E,NSE
2799,CHEMFAB,Chemfab Alkalis,EQ,5,1,ES,E,NSE
10753,UNIONBANK,Union Bank Of India,EQ,5,1,ES,E,NSE
9342,PNC,Pritish Nandy Communicati,EQ,5,1,ES,E,NSE
2412,PEL,Piramal Enterprises,EQ,5,1,ES,E,NSE
18822,ENDURANCE,Endurance Technologies,EQ,5,1,ES,E,NSE
11892,VHL,Vardhman Holdings,EQ,5,1,ES,E,NSE
14490,NCLIND,NCL Industries,EQ,5,1,ES,E,NSE
21174,CDSL,CDSL ,EQ,5,1,ES,E,NSE
1196,KANSAINER,Kansai Nerolac Paints,EQ,5,1,ES,E,NSE
495,BLUEDART,Blue Dart Express,EQ,5,1,ES,E,NSE
4344,PUNJABCHEM,Punjab Chemicals And Crop.,EQ,5,1,ES,E,NSE
13771,AARVEEDEN,Aarvee Denims & Exports,EQ,5,1,ES,E,NSE
17486,EXPLEOSOL,Expleo Solutions,EQ,5,1,ES,E,NSE
10,ABAN,Aban Offshore,EQ,5,1,ES,E,NSE
15414,TITAGARH,Titagarh Wagons,EQ,5,1,ES,E,NSE
19223,TCIEXP,Tci Express,EQ,5,1,ES,E,NSE
18154,HATHWAY,Hathway Cable & Datacom,EQ,5,1,ES,E,NSE
955,ESABINDIA,ESAB,EQ,5,1,ES,E,NSE
20329,CGCL,Capri Global Capital,EQ,5,1,ES,E,NSE
4037,AUSOMENT,Ausom Enterprises,EQ,5,1,ES,E,NSE
1041,FINPIPE,Finolex Industries,EQ,5,1,ES,E,NSE
1756,JINDALPOLY,Jindal Poly Films,EQ,5,1,ES,E,NSE
21690,DIXON,Dixon Technologies,EQ,5,1,ES,E,NSE
17598,ASALCBR,Asso Alcohols & Brew,EQ,5,1,ES,E,NSE
993,EVERESTIND,Everest Industries,EQ,5,1,ES,E,NSE
2263,BANDHANBNK,Bandhan Bank,EQ,5,1,ES,E,NSE
11809,IIFL,IIFL Finance,EQ,5,1,ES,E,NSE
4668,BANKBARODA,Bank Of Baroda,EQ,5,1,ES,E,NSE
11606,GUFICBIO,Gufic Biosciences,EQ,5,1,ES,E,NSE
8075,DALBHARAT,Dalmia Bharat,EQ,5,1,ES,E,NSE
13538,TECHM,Tech Mahindra,EQ,5,1,ES,E,NSE
19438,AHLEAST,Asian Hotels (East),EQ,5,1,ES,E,NSE
13300,NITCO,NITCO,EQ,5,1,ES,E,NSE
18520,CUPID,Cupid,EQ,5,1,ES,E,NSE
8163,SPENCERS,Spencers Retail,EQ,5,1,ES,E,NSE
1038,FINCABLES,Finolex Cables,EQ,5,1,ES,E,NSE
385,MAHLOG,Mahindra Logistic,EQ,5,1,ES,E,NSE
13430,KELLTONTEC,Kellton Tech Sol,EQ,5,1,ES,E,NSE
15399,EIHAHOTELS,EIH Associated Hotels,EQ,5,1,ES,E,NSE
29598,REPCOHOME,Repco Home Finance,EQ,5,1,ES,E,NSE
3880,SOMANYCERA,Somany Ceramics,EQ,5,1,ES,E,NSE
3396,TAINWALCHM,Tainwala Chemical And Pla,EQ,5,1,ES,E,NSE
18118,THANGAMAYL,Thangamayil Jewellery,EQ,5,1,ES,E,NSE
3757,VENKEYS,Venkys,EQ,5,1,ES,E,NSE
1922,KOTAKBANK,Kotak Bank,EQ,5,1,ES,E,NSE
11275,TVTODAY,Tv Today Network,EQ,5,1,ES,E,NSE
13126,REPRO,Repro India,EQ,5,1,ES,E,NSE
1315,GALAXYSURF,Galaxy Surfactants,EQ,5,1,ES,E,NSE
5428,TRIGYN,Trigyn Technologies,EQ,5,1,ES,E,NSE
11027,INFOBEAN,INFOBEANS TECHNO. LTD.,EQ,5,1,ES,E,NSE
1624,IOC,Indian Oil Corp,EQ,5,1,ES,E,NSE
15189,BGRENERGY,Bgr Energy Systems,EQ,5,1,ES,E,NSE
15362,VGUARD,V Guard Industries,EQ,5,1,ES,E,NSE
21195,GTPL,Gtpl Hathway,EQ,5,1,ES,E,NSE
13091,EKC,Everest Kanto Cylinder Lt,EQ,5,1,ES,E,NSE
17534,MGL,Mahanagar Gas,EQ,5,1,ES,E,NSE
20453,APCL,Anjani Portland Cem,EQ,5,1,ES,E,NSE
11369,TTKHLTCARE,TTK Healthcare,EQ,5,1,ES,E,NSE
10578,MPSLTD,MPS,EQ,5,1,ES,E,NSE
203,ASHAPURMIN,Ashapura Minechem,EQ,5,1,ES,E,NSE
3389,AGARIND,Agarwal Inds Corp,EQ,5,1,ES,E,NSE
6951,LINC,Linc Pen & Plastics,EQ,5,1,ES,E,NSE
13,ABB,ABB,EQ,5,1,ES,E,NSE
14255,REDINGTON,Redington,EQ,5,1,ES,E,NSE
1949,KSB,KSB,EQ,5,1,ES,E,NSE
18226,MANINFRA,Man Infra,EQ,5,1,ES,E,NSE
5900,AXISBANK,Axis Bank,EQ,5,1,ES,E,NSE
17881,DBCORP,D B Corp,EQ,5,1,ES,E,NSE
